authorId,name,component,component_size
3030006,S. Tabik,1,20
2065671060,Khan Muhammad,1,20
2999175,T. Abuhmed,1,20
1379511816,Alejandro Barredo Arrieta,1,20
47495965,Sajid Ali,1,20
144833154,R. Confalonieri,1,20
39558258,S. García,1,20
1402195255,S. Gil-Lopez,1,20
1704327,Riccardo Guidotti,1,20
2058921025,Natalia Díaz Rodríguez,1,20
9221552,J. Ser,1,20
2445552,Richard Benjamins,1,20
145337392,D. Molina,1,20
1423321194,N. Díaz-Rodríguez,1,20
2151319597,J. Alonso-Moral,1,20
50449165,A. Barbado,1,20
2091924780,Raja Chatila,1,20
2098723448,Francisco Herrera,1,20
1379511786,Adrien Bennetot,1,20
1412328163,Shaker El-Sappagh,1,20
145768607,Melissa Bond,2,4
1389230390,Franziska Gouverneur,2,4
1389230375,Olaf Zawacki-Richter,2,4
11130878,Victoria I. Marín,2,4
50487490,M. Berrada,3,2
9139705,Amina Adadi,3,2
143754359,Varun Chandrasekaran,4,14
1783184,Ece Kamar,4,14
2247662718,Hamid Palangi,4,14
78846919,Marco Tulio Ribeiro,4,14
2397827688,Peter Lee,4,14
152244300,Yuan-Fang Li,4,14
2109308930,Y. Lee,4,14
120962807,John A. Gehrke,4,14
144884116,Yi Zhang,4,14
2315830,Ronen Eldan,4,14
2064595436,Eric Horvitz,4,14
23451726,Scott M. Lundberg,4,14
121645690,Sébastien Bubeck,4,14
2268494857,Harsha Nori,4,14
91573015,C. Sohrabi,5,9
120002745,R. Agha,5,9
2290057522,Rasha Rashid,5,9
15447189,M. Agha,5,9
35645232,Ginimol Mathew,5,9
31614073,Maria Nicola,5,9
67293110,Ahmed Kerwan,5,9
1414886863,A. Al-Jabir,5,9
2247509061,T. Franchi,5,9
5565754,Khalid Bin saleh,6,13
2159384173,Sumaya N Almohareb,6,13
2003687008,Atheer O. Aldairem,6,13
2243408972,S. Alghamdi,6,13
6458651,Abdulkareem M. Albekairy,6,13
2291423525,N. Alsuhebany,6,13
2243412243,Tariq Alqahtani,6,13
12112205,Majed S. Al Yami,6,13
11708863,H. Badreldin,6,13
4884356,Shmeylan A. Al Harbi,6,13
1716508276,Shuroug A. Alowais,6,13
144882464,Mohammed A. Alrashed,6,13
2078203152,Abdulrahman I. Alshaya,6,13
2594093,S. Jegelka,7,21
3410500,Matthias Fey,7,21
2047009195,Oishi Banerjee,7,21
48594758,Weihua Hu,7,21
2933399,Ruining He,7,21
2156641189,Bowen Liu,7,21
2095762,M. Zitnik,7,21
49437682,William L. Hamilton,7,21
83539859,Rex Ying,7,21
1557487144,Michael Moor,7,21
144758045,E. Topol,7,21
1453104568,P. Rajpurkar,7,21
3360632,Keyulu Xu,7,21
50988143,Pong Eksombatchai,7,21
115517806,Zahra F H Abad,7,21
1702139,J. Leskovec,7,21
2117715807,H. Krumholz,7,21
1754926,Michele Catasta,7,21
40046694,Hongyu Ren,7,21
2047998,Yuxiao Dong,7,21
2118439896,Kaifeng Chen,7,21
144340154,P. Walton,8,35
143698898,J. Edwards,8,35
153278840,J. Singh,8,35
144521858,Y. Duan,8,35
2937059,P. Ilavarasan,8,35
102927759,Annie Tubadji,8,35
1410968693,R. Dwivedi,8,35
1418648774,Bianca Kronemann,8,35
2066599148,Laurie Hughes,8,35
1404797274,K. L. Meunier-FitzHugh,8,35
2733956,A. Kar,8,35
1415234363,L. Meunier-FitzHugh,8,35
91018104,G. Aarts,8,35
2168272578,Paul Jones,8,35
50817520,M. Janssen,8,35
2116399602,Michael D. Williams,8,35
1688149,Nripendra P. Rana,8,35
2191954,K. Tamilmani,8,35
3446873,Elvira R. Ismagilova,8,35
2038468629,S. Sharma,8,35
121714298,Aled Eirug,8,35
66781543,Jak Spencer,8,35
2032434,Spyridon Samothrakis,8,35
3094343,B. Lucini,8,35
2285182,Tom Crick,8,35
52563419,E. Mogaji,8,35
35098701,Vishnupriya Raghavan,8,35
2575165,R. Medaglia,8,35
1696747,Banita Lal,8,35
47033159,S. Misra,8,35
1724490,Yogesh Kumar Dwivedi,8,35
2235927,Crispin R. Coombs,8,35
26898704,Vassilis Galanos,8,35
41074539,Hatice Kizgin,8,35
2775338,R. Raman,8,35
119848616,S. A. Vakhabova,9,3
2310506836,Valery V. Kosulin,9,3
2335370855,Ana Zizaeva,9,3
47941411,Pete Warden,10,142
3050846,Alban Desmaison,10,142
39793298,Sam Gross,10,142
3029482,L. Antiga,10,142
2060655766,G. Irving,10,142
144061974,P. Mcdaniel,10,142
