source,target,source_name,target_name,weight
1379511816,2058921025,Alejandro Barredo Arrieta,Natalia Díaz Rodríguez,1
1379511816,9221552,Alejandro Barredo Arrieta,J. Ser,1
1379511786,1379511816,Adrien Bennetot,Alejandro Barredo Arrieta,1
1379511816,3030006,Alejandro Barredo Arrieta,S. Tabik,1
1379511816,50449165,Alejandro Barredo Arrieta,A. Barbado,1
1379511816,39558258,Alejandro Barredo Arrieta,S. García,1
1379511816,1402195255,Alejandro Barredo Arrieta,S. Gil-Lopez,1
1379511816,145337392,Alejandro Barredo Arrieta,D. Molina,1
1379511816,2445552,Alejandro Barredo Arrieta,Richard Benjamins,1
1379511816,2091924780,Alejandro Barredo Arrieta,Raja Chatila,1
1379511816,2098723448,Alejandro Barredo Arrieta,Francisco Herrera,1
2058921025,9221552,Natalia Díaz Rodríguez,J. Ser,1
1379511786,2058921025,Adrien Bennetot,Natalia Díaz Rodríguez,1
2058921025,3030006,Natalia Díaz Rodríguez,S. Tabik,1
2058921025,50449165,Natalia Díaz Rodríguez,A. Barbado,1
2058921025,39558258,Natalia Díaz Rodríguez,S. García,1
1402195255,2058921025,S. Gil-Lopez,Natalia Díaz Rodríguez,1
145337392,2058921025,D. Molina,Natalia Díaz Rodríguez,1
2058921025,2445552,Natalia Díaz Rodríguez,Richard Benjamins,1
2058921025,2091924780,Natalia Díaz Rodríguez,Raja Chatila,1
2058921025,2098723448,Natalia Díaz Rodríguez,Francisco Herrera,1
1379511786,9221552,Adrien Bennetot,J. Ser,1
3030006,9221552,S. Tabik,J. Ser,1
50449165,9221552,A. Barbado,J. Ser,1
39558258,9221552,S. García,J. Ser,1
1402195255,9221552,S. Gil-Lopez,J. Ser,1
145337392,9221552,D. Molina,J. Ser,1
2445552,9221552,Richard Benjamins,J. Ser,1
2091924780,9221552,Raja Chatila,J. Ser,1
2098723448,9221552,Francisco Herrera,J. Ser,2
1379511786,3030006,Adrien Bennetot,S. Tabik,1
1379511786,50449165,Adrien Bennetot,A. Barbado,1
1379511786,39558258,Adrien Bennetot,S. García,1
1379511786,1402195255,Adrien Bennetot,S. Gil-Lopez,1
1379511786,145337392,Adrien Bennetot,D. Molina,1
1379511786,2445552,Adrien Bennetot,Richard Benjamins,1
1379511786,2091924780,Adrien Bennetot,Raja Chatila,1
1379511786,2098723448,Adrien Bennetot,Francisco Herrera,1
3030006,50449165,S. Tabik,A. Barbado,1
3030006,39558258,S. Tabik,S. García,1
1402195255,3030006,S. Gil-Lopez,S. Tabik,1
145337392,3030006,D. Molina,S. Tabik,1
2445552,3030006,Richard Benjamins,S. Tabik,1
2091924780,3030006,Raja Chatila,S. Tabik,1
2098723448,3030006,Francisco Herrera,S. Tabik,1
39558258,50449165,S. García,A. Barbado,1
1402195255,50449165,S. Gil-Lopez,A. Barbado,1
145337392,50449165,D. Molina,A. Barbado,1
2445552,50449165,Richard Benjamins,A. Barbado,1
2091924780,50449165,Raja Chatila,A. Barbado,1
2098723448,50449165,Francisco Herrera,A. Barbado,1
